-- Parameters range: 
activation ; [<function tanh at 0x000001F87BAE0A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001F87BAE0A68>
learning_rate ; 0.01
hops ; 2
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.8765625119209289;0.8298168420791626;0.8559386968612671;23.8;<function tanh at 0x000001F87BAE0A68>;0.01;3
1;0.8895833373069764;0.8413919568061828;0.8325670599937439;21.2;<function tanh at 0x000001F87BAE0A68>;0.01;2
2;0.8630208373069763;0.8183333277702332;0.8295019030570984;17.6;<function tanh at 0x000001F87BAE0A68>;0.01;1
3;0.8770833492279053;0.8298351645469666;0.8168581962585449;17.0;<function tanh at 0x000001F87BAE0A68>;0.01;1
4;0.8791666626930237;0.8376007199287414;0.8111111164093018;20.6;<function tanh at 0x000001F87BAE0A68>;0.01;3
5;0.8604166746139527;0.816373598575592;0.8394636034965515;17.0;<function tanh at 0x000001F87BAE0A68>;0.01;1
6;0.8734374880790711;0.8297435879707337;0.8406130194664001;20.2;<function tanh at 0x000001F87BAE0A68>;0.01;2
7;0.8776041626930237;0.8355677604675293;0.8379310607910156;19.2;<function tanh at 0x000001F87BAE0A68>;0.01;3
8;0.8703125;0.8317033171653747;0.8455938696861267;19.0;<function tanh at 0x000001F87BAE0A68>;0.01;2
9;0.8588541626930237;0.801208782196045;0.8593869924545288;18.4;<function tanh at 0x000001F87BAE0A68>;0.01;2
MEAN;0.8726041686534881;0.8271575057506562;0.8368965518474578;19.4;;;
STD;0.009096560106298683;0.011364426416380233;0.014509956386520211;2.0159365069366646;;;

