-- Parameters range: 
activation ; [<function tanh at 0x000001F87BAE0A68>]
learning_rate ; [0.001, 0.01]
hops ; [1, 2, 3]

-- Best parameters: 
activation ; <function tanh at 0x000001F87BAE0A68>
learning_rate ; 0.01
hops ; 1
mode ; 0.06

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;activation;learning_rate;hops
0;0.9625;0.9602806806564331;0.9671957731246948;17.2;<function tanh at 0x000001F87BAE0A68>;0.01;2
1;0.96328125;0.9603509068489074;0.9666666746139526;16.2;<function tanh at 0x000001F87BAE0A68>;0.01;2
2;0.9765625;0.9656140565872192;0.9613756775856018;36.2;<function tanh at 0x000001F87BAE0A68>;0.01;1
3;0.96796875;0.9577193260192871;0.9730158567428588;24.2;<function tanh at 0x000001F87BAE0A68>;0.01;3
4;0.98046875;0.9630877017974854;0.9571428537368775;74.6;<function tanh at 0x000001F87BAE0A68>;0.01;1
5;0.975;0.9655789256095886;0.9714285612106324;31.8;<function tanh at 0x000001F87BAE0A68>;0.01;1
6;0.96640625;0.9629122972488403;0.9666666746139526;18.6;<function tanh at 0x000001F87BAE0A68>;0.01;1
7;0.9671875;0.9496140599250793;0.9751322746276856;50.4;<function tanh at 0x000001F87BAE0A68>;0.01;3
8;0.96953125;0.9576842665672303;0.9730158567428588;30.8;<function tanh at 0x000001F87BAE0A68>;0.01;1
9;0.9734375;0.957719337940216;0.9714285612106324;56.6;<function tanh at 0x000001F87BAE0A68>;0.01;1
MEAN;0.9702343749999999;0.9600561559200287;0.9683068764209748;35.660000000000004;;;
STD;0.005616856083755835;0.004521737145835806;0.005382535444685426;18.31044510655052;;;

